n,core,state,class,tier,role,element,latches,full_codes,reading
61,S1m-0,seek,search,near-miss,medic,none,,350,"Medic moving on a last-known position, after a round whistled past."
62,S1m-4,seek,search,near-miss,medic,none,held-in-place,350,"Medic moving on a last-known position, after a round whistled past [held-in-place latched]."
63,S1m-G,seek,search,near-miss,medic,none,sight-grace,350,"Medic moving on a last-known position, after a round whistled past [sight-grace latched]."
64,S1m-K,seek,search,near-miss,medic,none,held-in-place+sight-grace,350,"Medic moving on a last-known position, after a round whistled past [held-in-place+sight-grace latched]."
65,S2r-0,seek,search,wary,rifleman,none,,210,"Rifleman moving on a last-known position, on a fresh wary call-out."
66,S2r-4,seek,search,wary,rifleman,none,held-in-place,210,"Rifleman moving on a last-known position, on a fresh wary call-out [held-in-place latched]."
67,S2r-G,seek,search,wary,rifleman,none,sight-grace,210,"Rifleman moving on a last-known position, on a fresh wary call-out [sight-grace latched]."
68,S2r-K,seek,search,wary,rifleman,none,held-in-place+sight-grace,210,"Rifleman moving on a last-known position, on a fresh wary call-out [held-in-place+sight-grace latched]."
69,S2m-0,seek,search,wary,medic,none,,700,"Medic moving on a last-known position, on a fresh wary call-out."
70,S2m-4,seek,search,wary,medic,none,held-in-place,700,"Medic moving on a last-known position, on a fresh wary call-out [held-in-place latched]."
71,S2m-G,seek,search,wary,medic,none,sight-grace,700,"Medic moving on a last-known position, on a fresh wary call-out [sight-grace latched]."
72,S2m-K,seek,search,wary,medic,none,held-in-place+sight-grace,700,"Medic moving on a last-known position, on a fresh wary call-out [held-in-place+sight-grace latched]."
73,S3r-0,seek,search,defensive,rifleman,none,,840,"Rifleman moving on a last-known position, under a defensive squad alert."
74,S3r-4,seek,search,defensive,rifleman,none,held-in-place,840,"Rifleman moving on a last-known position, under a defensive squad alert [held-in-place latched]."
75,S3r-G,seek,search,defensive,rifleman,none,sight-grace,840,"Rifleman moving on a last-known position, under a defensive squad alert [sight-grace latched]."
76,S3r-K,seek,search,defensive,rifleman,none,held-in-place+sight-grace,840,"Rifleman moving on a last-known position, under a defensive squad alert [held-in-place+sight-grace latched]."
77,S3m-0,seek,search,defensive,medic,none,,2800,"Medic moving on a last-known position, under a defensive squad alert."
78,S3m-4,seek,search,defensive,medic,none,held-in-place,2800,"Medic moving on a last-known position, under a defensive squad alert [held-in-place latched]."
79,S3m-G,seek,search,defensive,medic,none,sight-grace,2800,"Medic moving on a last-known position, under a defensive squad alert [sight-grace latched]."
80,S3m-K,seek,search,defensive,medic,none,held-in-place+sight-grace,2800,"Medic moving on a last-known position, under a defensive squad alert [held-in-place+sight-grace latched]."
81,S4rb0,seek,search,push,rifleman,base-of-fire,,630,"Rifleman moving on a last-known position, in a squad push as the base-of-fire element."
82,S4rb4,seek,search,push,rifleman,base-of-fire,held-in-place,630,"Rifleman moving on a last-known position, in a squad push as the base-of-fire element [held-in-place latched]."
83,S4rbG,seek,search,push,rifleman,base-of-fire,sight-grace,630,"Rifleman moving on a last-known position, in a squad push as the base-of-fire element [sight-grace latched]."
84,S4rbK,seek,search,push,rifleman,base-of-fire,held-in-place+sight-grace,630,"Rifleman moving on a last-known position, in a squad push as the base-of-fire element [held-in-place+sight-grace latched]."
85,S4rm0,seek,search,push,rifleman,moving,,630,"Rifleman moving on a last-known position, in a squad push as the moving element."
86,S4rm4,seek,search,push,rifleman,moving,held-in-place,630,"Rifleman moving on a last-known position, in a squad push as the moving element [held-in-place latched]."
87,S4rmG,seek,search,push,rifleman,moving,sight-grace,630,"Rifleman moving on a last-known position, in a squad push as the moving element [sight-grace latched]."
88,S4rmK,seek,search,push,rifleman,moving,held-in-place+sight-grace,630,"Rifleman moving on a last-known position, in a squad push as the moving element [held-in-place+sight-grace latched]."
89,S4mb0,seek,search,push,medic,base-of-fire,,2100,"Medic moving on a last-known position, in a squad push as the base-of-fire element."
90,S4mb4,seek,search,push,medic,base-of-fire,held-in-place,2100,"Medic moving on a last-known position, in a squad push as the base-of-fire element [held-in-place latched]."
91,S4mbG,seek,search,push,medic,base-of-fire,sight-grace,2100,"Medic moving on a last-known position, in a squad push as the base-of-fire element [sight-grace latched]."
92,S4mbK,seek,search,push,medic,base-of-fire,held-in-place+sight-grace,2100,"Medic moving on a last-known position, in a squad push as the base-of-fire element [held-in-place+sight-grace latched]."
93,S4mm0,seek,search,push,medic,moving,,2100,"Medic moving on a last-known position, in a squad push as the moving element."
94,S4mm4,seek,search,push,medic,moving,held-in-place,2100,"Medic moving on a last-known position, in a squad push as the moving element [held-in-place latched]."
95,S4mmG,seek,search,push,medic,moving,sight-grace,2100,"Medic moving on a last-known position, in a squad push as the moving element [sight-grace latched]."
96,S4mmK,seek,search,push,medic,moving,held-in-place+sight-grace,2100,"Medic moving on a last-known position, in a squad push as the moving element [held-in-place+sight-grace latched]."
97,U0r-0,pursue,engage,calm,rifleman,none,,105,Rifleman closing on a visible target.
98,U0r-4,pursue,engage,calm,rifleman,none,held-in-place,105,Rifleman closing on a visible target [held-in-place latched].
99,U0r-G,pursue,engage,calm,rifleman,none,sight-grace,105,Rifleman closing on a visible target [sight-grace latched].
100,U0r-K,pursue,engage,calm,rifleman,none,held-in-place+sight-grace,105,Rifleman closing on a visible target [held-in-place+sight-grace latched].
101,U0m-0,pursue,engage,calm,medic,none,,350,Medic closing on a visible target.
102,U0m-4,pursue,engage,calm,medic,none,held-in-place,350,Medic closing on a visible target [held-in-place latched].
103,U0m-G,pursue,engage,calm,medic,none,sight-grace,350,Medic closing on a visible target [sight-grace latched].
104,U0m-K,pursue,engage,calm,medic,none,held-in-place+sight-grace,350,Medic closing on a visible target [held-in-place+sight-grace latched].
105,U1r-0,pursue,engage,near-miss,rifleman,none,,105,"Rifleman closing on a visible target, after a round whistled past."
106,U1r-4,pursue,engage,near-miss,rifleman,none,held-in-place,105,"Rifleman closing on a visible target, after a round whistled past [held-in-place latched]."
107,U1r-G,pursue,engage,near-miss,rifleman,none,sight-grace,105,"Rifleman closing on a visible target, after a round whistled past [sight-grace latched]."
108,U1r-K,pursue,engage,near-miss,rifleman,none,held-in-place+sight-grace,105,"Rifleman closing on a visible target, after a round whistled past [held-in-place+sight-grace latched]."
109,U1m-0,pursue,engage,near-miss,medic,none,,350,"Medic closing on a visible target, after a round whistled past."
110,U1m-4,pursue,engage,near-miss,medic,none,held-in-place,350,"Medic closing on a visible target, after a round whistled past [held-in-place latched]."
111,U1m-G,pursue,engage,near-miss,medic,none,sight-grace,350,"Medic closing on a visible target, after a round whistled past [sight-grace latched]."
112,U1m-K,pursue,engage,near-miss,medic,none,held-in-place+sight-grace,350,"Medic closing on a visible target, after a round whistled past [held-in-place+sight-grace latched]."
113,U2r-0,pursue,engage,wary,rifleman,none,,210,"Rifleman closing on a visible target, on a fresh wary call-out."
114,U2r-4,pursue,engage,wary,rifleman,none,held-in-place,210,"Rifleman closing on a visible target, on a fresh wary call-out [held-in-place latched]."
115,U2r-G,pursue,engage,wary,rifleman,none,sight-grace,210,"Rifleman closing on a visible target, on a fresh wary call-out [sight-grace latched]."
116,U2r-K,pursue,engage,wary,rifleman,none,held-in-place+sight-grace,210,"Rifleman closing on a visible target, on a fresh wary call-out [held-in-place+sight-grace latched]."
117,U2m-0,pursue,engage,wary,medic,none,,700,"Medic closing on a visible target, on a fresh wary call-out."
118,U2m-4,pursue,engage,wary,medic,none,held-in-place,700,"Medic closing on a visible target, on a fresh wary call-out [held-in-place latched]."
119,U2m-G,pursue,engage,wary,medic,none,sight-grace,700,"Medic closing on a visible target, on a fresh wary call-out [sight-grace latched]."
120,U2m-K,pursue,engage,wary,medic,none,held-in-place+sight-grace,700,"Medic closing on a visible target, on a fresh wary call-out [held-in-place+sight-grace latched]."
121,U3r-0,pursue,engage,defensive,rifleman,none,,840,"Rifleman closing on a visible target, under a defensive squad alert."
122,U3r-4,pursue,engage,defensive,rifleman,none,held-in-place,840,"Rifleman closing on a visible target, under a defensive squad alert [held-in-place latched]."
123,U3r-G,pursue,engage,defensive,rifleman,none,sight-grace,840,"Rifleman closing on a visible target, under a defensive squad alert [sight-grace latched]."
124,U3r-K,pursue,engage,defensive,rifleman,none,held-in-place+sight-grace,840,"Rifleman closing on a visible target, under a defensive squad alert [held-in-place+sight-grace latched]."
125,U3m-0,pursue,engage,defensive,medic,none,,2800,"Medic closing on a visible target, under a defensive squad alert."
126,U3m-4,pursue,engage,defensive,medic,none,held-in-place,2800,"Medic closing on a visible target, under a defensive squad alert [held-in-place latched]."
127,U3m-G,pursue,engage,defensive,medic,none,sight-grace,2800,"Medic closing on a visible target, under a defensive squad alert [sight-grace latched]."
128,U3m-K,pursue,engage,defensive,medic,none,held-in-place+sight-grace,2800,"Medic closing on a visible target, under a defensive squad alert [held-in-place+sight-grace latched]."
129,U4rb0,pursue,engage,push,rifleman,base-of-fire,,630,"Rifleman closing on a visible target, in a squad push as the base-of-fire element."
130,U4rb4,pursue,engage,push,rifleman,base-of-fire,held-in-place,630,"Rifleman closing on a visible target, in a squad push as the base-of-fire element [held-in-place latched]."
131,U4rbG,pursue,engage,push,rifleman,base-of-fire,sight-grace,630,"Rifleman closing on a visible target, in a squad push as the base-of-fire element [sight-grace latched]."
132,U4rbK,pursue,engage,push,rifleman,base-of-fire,held-in-place+sight-grace,630,"Rifleman closing on a visible target, in a squad push as the base-of-fire element [held-in-place+sight-grace latched]."
133,U4rm0,pursue,engage,push,rifleman,moving,,630,"Rifleman closing on a visible target, in a squad push as the moving element."
134,U4rm4,pursue,engage,push,rifleman,moving,held-in-place,630,"Rifleman closing on a visible target, in a squad push as the moving element [held-in-place latched]."
135,U4rmG,pursue,engage,push,rifleman,moving,sight-grace,630,"Rifleman closing on a visible target, in a squad push as the moving element [sight-grace latched]."
136,U4rmK,pursue,engage,push,rifleman,moving,held-in-place+sight-grace,630,"Rifleman closing on a visible target, in a squad push as the moving element [held-in-place+sight-grace latched]."
137,U4mb0,pursue,engage,push,medic,base-of-fire,,2100,"Medic closing on a visible target, in a squad push as the base-of-fire element."
138,U4mb4,pursue,engage,push,medic,base-of-fire,held-in-place,2100,"Medic closing on a visible target, in a squad push as the base-of-fire element [held-in-place latched]."
139,U4mbG,pursue,engage,push,medic,base-of-fire,sight-grace,2100,"Medic closing on a visible target, in a squad push as the base-of-fire element [sight-grace latched]."
140,U4mbK,pursue,engage,push,medic,base-of-fire,held-in-place+sight-grace,2100,"Medic closing on a visible target, in a squad push as the base-of-fire element [held-in-place+sight-grace latched]."
141,U4mm0,pursue,engage,push,medic,moving,,2100,"Medic closing on a visible target, in a squad push as the moving element."
142,U4mm4,pursue,engage,push,medic,moving,held-in-place,2100,"Medic closing on a visible target, in a squad push as the moving element [held-in-place latched]."
143,U4mmG,pursue,engage,push,medic,moving,sight-grace,2100,"Medic closing on a visible target, in a squad push as the moving element [sight-grace latched]."
144,U4mmK,pursue,engage,push,medic,moving,held-in-place+sight-grace,2100,"Medic closing on a visible target, in a squad push as the moving element [held-in-place+sight-grace latched]."
145,E0r-0,flee,survive,calm,rifleman,none,,105,Rifleman retreating.
146,E0r-1,flee,survive,calm,rifleman,none,flee,105,Rifleman retreating [flee latched].
147,E0r-8,flee,survive,calm,rifleman,none,heal-flee,105,Rifleman retreating [heal-flee latched].
148,E0r-9,flee,survive,calm,rifleman,none,flee+heal-flee,105,Rifleman retreating [flee+heal-flee latched].
149,E0r-G,flee,survive,calm,rifleman,none,sight-grace,105,Rifleman retreating [sight-grace latched].
150,E0r-H,flee,survive,calm,rifleman,none,flee+sight-grace,105,Rifleman retreating [flee+sight-grace latched].
151,E0r-O,flee,survive,calm,rifleman,none,heal-flee+sight-grace,105,Rifleman retreating [heal-flee+sight-grace latched].
152,E0r-P,flee,survive,calm,rifleman,none,flee+heal-flee+sight-grace,105,Rifleman retreating [flee+heal-flee+sight-grace latched].
153,E0m-0,flee,survive,calm,medic,none,,350,Medic retreating.
154,E0m-1,flee,survive,calm,medic,none,flee,350,Medic retreating [flee latched].
155,E0m-8,flee,survive,calm,medic,none,heal-flee,350,Medic retreating [heal-flee latched].
156,E0m-9,flee,survive,calm,medic,none,flee+heal-flee,350,Medic retreating [flee+heal-flee latched].
157,E0m-G,flee,survive,calm,medic,none,sight-grace,350,Medic retreating [sight-grace latched].
158,E0m-H,flee,survive,calm,medic,none,flee+sight-grace,350,Medic retreating [flee+sight-grace latched].
159,E0m-O,flee,survive,calm,medic,none,heal-flee+sight-grace,350,Medic retreating [heal-flee+sight-grace latched].
160,E0m-P,flee,survive,calm,medic,none,flee+heal-flee+sight-grace,350,Medic retreating [flee+heal-flee+sight-grace latched].
161,E1r-0,flee,survive,near-miss,rifleman,none,,105,"Rifleman retreating, after a round whistled past."
162,E1r-1,flee,survive,near-miss,rifleman,none,flee,105,"Rifleman retreating, after a round whistled past [flee latched]."
163,E1r-8,flee,survive,near-miss,rifleman,none,heal-flee,105,"Rifleman retreating, after a round whistled past [heal-flee latched]."
164,E1r-9,flee,survive,near-miss,rifleman,none,flee+heal-flee,105,"Rifleman retreating, after a round whistled past [flee+heal-flee latched]."
165,E1r-G,flee,survive,near-miss,rifleman,none,sight-grace,105,"Rifleman retreating, after a round whistled past [sight-grace latched]."
166,E1r-H,flee,survive,near-miss,rifleman,none,flee+sight-grace,105,"Rifleman retreating, after a round whistled past [flee+sight-grace latched]."
167,E1r-O,flee,survive,near-miss,rifleman,none,heal-flee+sight-grace,105,"Rifleman retreating, after a round whistled past [heal-flee+sight-grace latched]."
168,E1r-P,flee,survive,near-miss,rifleman,none,flee+heal-flee+sight-grace,105,"Rifleman retreating, after a round whistled past [flee+heal-flee+sight-grace latched]."
169,E1m-0,flee,survive,near-miss,medic,none,,350,"Medic retreating, after a round whistled past."
170,E1m-1,flee,survive,near-miss,medic,none,flee,350,"Medic retreating, after a round whistled past [flee latched]."
171,E1m-8,flee,survive,near-miss,medic,none,heal-flee,350,"Medic retreating, after a round whistled past [heal-flee latched]."
172,E1m-9,flee,survive,near-miss,medic,none,flee+heal-flee,350,"Medic retreating, after a round whistled past [flee+heal-flee latched]."
173,E1m-G,flee,survive,near-miss,medic,none,sight-grace,350,"Medic retreating, after a round whistled past [sight-grace latched]."
174,E1m-H,flee,survive,near-miss,medic,none,flee+sight-grace,350,"Medic retreating, after a round whistled past [flee+sight-grace latched]."
175,E1m-O,flee,survive,near-miss,medic,none,heal-flee+sight-grace,350,"Medic retreating, after a round whistled past [heal-flee+sight-grace latched]."
176,E1m-P,flee,survive,near-miss,medic,none,flee+heal-flee+sight-grace,350,"Medic retreating, after a round whistled past [flee+heal-flee+sight-grace latched]."
177,E2r-0,flee,survive,wary,rifleman,none,,210,"Rifleman retreating, on a fresh wary call-out."
178,E2r-1,flee,survive,wary,rifleman,none,flee,210,"Rifleman retreating, on a fresh wary call-out [flee latched]."
179,E2r-8,flee,survive,wary,rifleman,none,heal-flee,210,"Rifleman retreating, on a fresh wary call-out [heal-flee latched]."
180,E2r-9,flee,survive,wary,rifleman,none,flee+heal-flee,210,"Rifleman retreating, on a fresh wary call-out [flee+heal-flee latched]."
181,E2r-G,flee,survive,wary,rifleman,none,sight-grace,210,"Rifleman retreating, on a fresh wary call-out [sight-grace latched]."
182,E2r-H,flee,survive,wary,rifleman,none,flee+sight-grace,210,"Rifleman retreating, on a fresh wary call-out [flee+sight-grace latched]."
183,E2r-O,flee,survive,wary,rifleman,none,heal-flee+sight-grace,210,"Rifleman retreating, on a fresh wary call-out [heal-flee+sight-grace latched]."
184,E2r-P,flee,survive,wary,rifleman,none,flee+heal-flee+sight-grace,210,"Rifleman retreating, on a fresh wary call-out [flee+heal-flee+sight-grace latched]."
185,E2m-0,flee,survive,wary,medic,none,,700,"Medic retreating, on a fresh wary call-out."
186,E2m-1,flee,survive,wary,medic,none,flee,700,"Medic retreating, on a fresh wary call-out [flee latched]."
187,E2m-8,flee,survive,wary,medic,none,heal-flee,700,"Medic retreating, on a fresh wary call-out [heal-flee latched]."
188,E2m-9,flee,survive,wary,medic,none,flee+heal-flee,700,"Medic retreating, on a fresh wary call-out [flee+heal-flee latched]."
189,E2m-G,flee,survive,wary,medic,none,sight-grace,700,"Medic retreating, on a fresh wary call-out [sight-grace latched]."
190,E2m-H,flee,survive,wary,medic,none,flee+sight-grace,700,"Medic retreating, on a fresh wary call-out [flee+sight-grace latched]."
191,E2m-O,flee,survive,wary,medic,none,heal-flee+sight-grace,700,"Medic retreating, on a fresh wary call-out [heal-flee+sight-grace latched]."
192,E2m-P,flee,survive,wary,medic,none,flee+heal-flee+sight-grace,700,"Medic retreating, on a fresh wary call-out [flee+heal-flee+sight-grace latched]."
193,E3r-0,flee,survive,defensive,rifleman,none,,840,"Rifleman retreating, under a defensive squad alert."
194,E3r-1,flee,survive,defensive,rifleman,none,flee,840,"Rifleman retreating, under a defensive squad alert [flee latched]."
195,E3r-8,flee,survive,defensive,rifleman,none,heal-flee,840,"Rifleman retreating, under a defensive squad alert [heal-flee latched]."
196,E3r-9,flee,survive,defensive,rifleman,none,flee+heal-flee,840,"Rifleman retreating, under a defensive squad alert [flee+heal-flee latched]."
197,E3r-G,flee,survive,defensive,rifleman,none,sight-grace,840,"Rifleman retreating, under a defensive squad alert [sight-grace latched]."
198,E3r-H,flee,survive,defensive,rifleman,none,flee+sight-grace,840,"Rifleman retreating, under a defensive squad alert [flee+sight-grace latched]."
199,E3r-O,flee,survive,defensive,rifleman,none,heal-flee+sight-grace,840,"Rifleman retreating, under a defensive squad alert [heal-flee+sight-grace latched]."
200,E3r-P,flee,survive,defensive,rifleman,none,flee+heal-flee+sight-grace,840,"Rifleman retreating, under a defensive squad alert [flee+heal-flee+sight-grace latched]."
201,E3m-0,flee,survive,defensive,medic,none,,2800,"Medic retreating, under a defensive squad alert."
202,E3m-1,flee,survive,defensive,medic,none,flee,2800,"Medic retreating, under a defensive squad alert [flee latched]."
203,E3m-8,flee,survive,defensive,medic,none,heal-flee,2800,"Medic retreating, under a defensive squad alert [heal-flee latched]."
204,E3m-9,flee,survive,defensive,medic,none,flee+heal-flee,2800,"Medic retreating, under a defensive squad alert [flee+heal-flee latched]."
205,E3m-G,flee,survive,defensive,medic,none,sight-grace,2800,"Medic retreating, under a defensive squad alert [sight-grace latched]."
206,E3m-H,flee,survive,defensive,medic,none,flee+sight-grace,2800,"Medic retreating, under a defensive squad alert [flee+sight-grace latched]."
207,E3m-O,flee,survive,defensive,medic,none,heal-flee+sight-grace,2800,"Medic retreating, under a defensive squad alert [heal-flee+sight-grace latched]."
208,E3m-P,flee,survive,defensive,medic,none,flee+heal-flee+sight-grace,2800,"Medic retreating, under a defensive squad alert [flee+heal-flee+sight-grace latched]."
209,E4rb0,flee,survive,push,rifleman,base-of-fire,,630,"Rifleman retreating, in a squad push as the base-of-fire element."
210,E4rb1,flee,survive,push,rifleman,base-of-fire,flee,630,"Rifleman retreating, in a squad push as the base-of-fire element [flee latched]."
211,E4rb8,flee,survive,push,rifleman,base-of-fire,heal-flee,630,"Rifleman retreating, in a squad push as the base-of-fire element [heal-flee latched]."
212,E4rb9,flee,survive,push,rifleman,base-of-fire,flee+heal-flee,630,"Rifleman retreating, in a squad push as the base-of-fire element [flee+heal-flee latched]."
213,E4rbG,flee,survive,push,rifleman,base-of-fire,sight-grace,630,"Rifleman retreating, in a squad push as the base-of-fire element [sight-grace latched]."
214,E4rbH,flee,survive,push,rifleman,base-of-fire,flee+sight-grace,630,"Rifleman retreating, in a squad push as the base-of-fire element [flee+sight-grace latched]."
215,E4rbO,flee,survive,push,rifleman,base-of-fire,heal-flee+sight-grace,630,"Rifleman retreating, in a squad push as the base-of-fire element [heal-flee+sight-grace latched]."
216,E4rbP,flee,survive,push,rifleman,base-of-fire,flee+heal-flee+sight-grace,630,"Rifleman retreating, in a squad push as the base-of-fire element [flee+heal-flee+sight-grace latched]."
217,E4rm0,flee,survive,push,rifleman,moving,,630,"Rifleman retreating, in a squad push as the moving element."
218,E4rm1,flee,survive,push,rifleman,moving,flee,630,"Rifleman retreating, in a squad push as the moving element [flee latched]."
